Query,Last 3 months Clicks,Previous 3 months Clicks,Last 3 months Impressions,Previous 3 months Impressions,Last 3 months CTR,Previous 3 months CTR,Last 3 months Position,Previous 3 months Position
top pod 2019,151,119,433,384,34.87%,30.99%,1.94,3.49
vaping.con,151,141,185,172,81.62%,81.98%,1,1
sourin edge,150,208,9762,14036,1.54%,1.48%,6,5.8
rda tank,149,134,7071,7080,2.11%,1.89%,7.92,8.19
smok novo 2 not hitting,149,75,2233,617,6.67%,12.16%,4.74,4.49
vape blog,149,214,1431,1531,10.41%,13.98%,2.28,3.03
best mtl pod vape,149,90,442,305,33.71%,29.51%,1.68,3.85
smok nord vape,148,173,6739,8317,2.2%,2.08%,7.58,6.95
pod vape system,148,122,1042,819,14.2%,14.9%,2.96,3.45
vape stores,147,112,34136,21000,0.43%,0.53%,11.3,11.04
vinci voopoo,147,80,12374,7167,1.19%,1.12%,7.23,7.26
vaporesso target pm80,147,0,9416,0,1.56%,0%,8.78,0
smok salt nic vape,147,113,1312,1131,11.2%,9.99%,4.45,3.59
top pod,147,146,744,934,19.76%,15.63%,2.48,3.46
smok mods,146,336,18546,16000,0.79%,2.1%,8.1,6.75
suorin air plus review,146,793,2633,4612,5.55%,17.19%,5.44,3.8
best vape pod system 2020,146,0,345,0,42.32%,0%,1.95,0
smok prince stick,145,148,8760,10010,1.66%,1.48%,7.82,8.06
smoke novo,145,231,3632,5326,3.99%,4.34%,5.46,5.49
the best pod vape,145,183,367,884,39.51%,20.7%,1.57,3.53
smok novo 2 vs novo,145,349,314,629,46.18%,55.48%,1.25,1.21
pod mods,144,97,3582,3071,4.02%,3.16%,4.51,4.84
vaping.com tracking,144,133,169,161,85.21%,82.61%,1,1
best vape,143,222,12594,12168,1.14%,1.82%,13.57,15.77
best box mod 2019,142,675,1809,3086,7.85%,21.87%,7.42,3.83
smok novo 1 vs 2,142,185,437,473,32.49%,39.11%,2.43,1.82
v8 vape,141,220,2917,3726,4.83%,5.9%,2.99,1.85
pod termahal,140,151,1957,1216,7.15%,12.42%,6.47,4.87
ohms too low smok,140,0,649,0,21.57%,0%,2.25,0
best vape pod kit,140,0,352,0,39.77%,0%,1.9,0
phix,139,280,28768,31922,0.48%,0.88%,8.06,7.31
pen vapes,139,72,3106,2976,4.48%,2.42%,3.68,5.6
best juul alternative 2019,139,196,2013,1358,6.91%,14.43%,3.88,2.82
vap pens,139,75,1982,2925,7.01%,2.56%,3.35,5.3
smok nord burnt taste,139,259,663,1025,20.97%,25.27%,2.24,1.89
best vapes for salt nic,139,148,503,388,27.63%,38.14%,2.13,2.09
best pod for salt nic,139,158,409,346,33.99%,45.66%,2.66,1.36
smok novo price,138,183,6733,8967,2.05%,2.04%,5.62,4.6
top vape pods,138,118,251,335,54.98%,35.22%,1.26,2.04
latest pod,137,94,389,336,35.22%,27.98%,1.35,2.8
off brand juul,136,76,805,1134,16.89%,6.7%,2.48,3.93
smok price,135,226,1808,2277,7.47%,9.93%,3.28,2.29
